movement_id,startX,startY,endX,endY,deltaX,deltaY,distance,duration,velocity
60,748,413,748,414,0,1,1.0,0.0,0
61,748,414,748,418,0,4,4.0,0.0,0
62,748,418,748,420,0,2,2.0,0.0,0
63,748,420,749,421,1,1,1.414,0.0,0
64,749,421,750,421,1,0,1.0,0.0,0
65,750,421,750,421,0,0,0.0,0.0,0
66,750,421,750,420,0,-1,1.0,0.0,0
67,750,420,750,417,0,-3,3.0,0.0,0
68,750,417,752,416,2,-1,2.236,0.0,0
69,752,416,754,415,2,-1,2.236,0.0,0
70,754,415,754,408,0,-7,7.0,0.0,0
71,754,408,746,392,-8,-16,17.889,0.0,0
72,746,392,725,366,-21,-26,33.422,0.0,0
73,725,366,698,331,-27,-35,44.204,0.0,0
74,698,331,665,290,-33,-41,52.631,0.0,0
75,665,290,646,267,-19,-23,29.833,0.0,0
76,646,267,641,261,-5,-6,7.81,0.0,0
77,641,261,639,260,-2,-1,2.236,0.0,0
78,639,260,638,260,-1,0,1.0,0.0,0
79,638,260,635,260,-3,0,3.0,0.0,0
80,635,260,632,260,-3,0,3.0,0.0,0
81,632,260,628,261,-4,1,4.123,0.0,0
82,628,261,631,269,3,8,8.544,0.0,0
83,631,269,642,287,11,18,21.095,0.0,0
84,642,287,670,322,28,35,44.822,0.0,0
85,670,322,691,343,21,21,29.698,0.0,0
86,691,343,708,357,17,14,22.023,0.0,0
87,708,357,723,372,15,15,21.213,0.0,0
88,723,372,743,390,20,18,26.907,0.001,26826.047
89,743,390,760,406,17,16,23.345,0.0,0
90,760,406,778,425,18,19,26.173,0.0,0
91,778,425,794,444,16,19,24.839,0.0,0
92,794,444,806,458,12,14,18.439,0.0,0
93,806,458,812,464,6,6,8.485,0.0,0
94,812,464,815,467,3,3,4.243,0.0,0
95,815,467,815,468,0,1,1.0,0.0,0
96,815,468,817,468,2,0,2.0,0.0,0
97,817,468,817,471,0,3,3.0,0.0,0
98,817,471,813,471,-4,0,4.0,0.0,0
99,813,471,812,471,-1,0,1.0,0.0,0
100,812,471,811,472,-1,1,1.414,0.0,0
101,811,472,811,473,0,1,1.0,0.0,0
102,811,473,810,474,-1,1,1.414,0.0,0
103,810,474,810,475,0,1,1.0,0.0,0
1,153,22,153,22,0,0,0.0,0.0,0
2,153,22,337,169,184,147,235.51,0.0,0
3,337,169,379,201,42,32,52.802,0.0,0
4,379,201,421,228,42,27,49.93,0.0,0
5,421,228,487,271,66,43,78.772,0.0,0
6,487,271,538,302,51,31,59.682,0.0,0
7,538,302,580,328,42,26,49.396,0.0,0
8,580,328,616,353,36,25,43.829,0.0,0
9,616,353,611,362,-5,9,10.296,0.0,0
10,611,362,610,369,-1,7,7.071,0.0,0
11,610,369,613,371,3,2,3.606,0.0,0
12,613,371,615,372,2,1,2.236,0.0,0
13,615,372,616,372,1,0,1.0,0.0,0
14,616,372,620,374,4,2,4.472,0.0,0
15,620,374,627,377,7,3,7.616,0.0,0
16,627,377,634,378,7,1,7.071,0.0,0
17,634,378,638,378,4,0,4.0,0.0,0
18,638,378,651,378,13,0,13.0,0.0,0
19,651,378,666,375,15,-3,15.297,0.0,0
20,666,375,682,374,16,-1,16.031,0.0,0
21,682,374,700,374,18,0,18.0,0.0,0
22,700,374,716,374,16,0,16.0,0.0,0
23,716,374,731,374,15,0,15.0,0.0,0
24,731,374,743,374,12,0,12.0,0.0,0
25,743,374,753,374,10,0,10.0,0.0,0
26,753,374,761,374,8,0,8.0,0.0,0
27,761,374,765,374,4,0,4.0,0.0,0
28,765,374,767,374,2,0,2.0,0.0,0
29,767,374,768,374,1,0,1.0,0.0,0
30,768,374,769,373,1,-1,1.414,0.0,0
31,769,373,770,372,1,-1,1.414,0.0,0
32,770,372,771,372,1,0,1.0,0.0,0
33,771,372,773,369,2,-3,3.606,0.0,0
34,773,369,773,369,0,0,0.0,0.0,0
35,773,369,773,369,0,0,0.0,0.0,0
36,773,369,773,370,0,1,1.0,0.0,0
37,773,370,769,373,-4,3,5.0,0.0,0
38,769,373,766,379,-3,6,6.708,0.0,0
39,766,379,762,388,-4,9,9.849,0.0,0
40,762,388,759,400,-3,12,12.369,0.0,0
41,759,400,757,410,-2,10,10.198,0.0,0
42,757,410,757,416,0,6,6.0,0.0,0
43,757,416,757,420,0,4,4.0,0.0,0
44,757,420,757,422,0,2,2.0,0.0,0
45,757,422,757,427,0,5,5.0,0.0,0
46,757,427,757,432,0,5,5.0,0.0,0
47,757,432,757,433,0,1,1.0,0.0,0
48,757,433,758,437,1,4,4.123,0.0,0
49,758,437,759,439,1,2,2.236,0.0,0
50,759,439,760,442,1,3,3.162,0.0,0
51,760,442,762,445,2,3,3.606,0.0,0
52,762,445,762,446,0,1,1.0,0.0,0
53,762,446,762,450,0,4,4.0,0.0,0
54,762,450,762,452,0,2,2.0,0.0,0
55,762,452,762,453,0,1,1.0,0.0,0
56,762,453,762,454,0,1,1.0,0.0,0
57,762,454,762,455,0,1,1.0,0.0,0
58,762,455,762,460,0,5,5.0,0.0,0
59,762,460,762,461,0,1,1.0,0.0,0
60,762,461,762,462,0,1,1.0,0.0,0
1,125,3,162,20,37,17,40.719,0.0,0
2,162,20,210,44,48,24,53.666,0.0,0
3,210,44,399,143,189,99,213.359,0.0,0
4,399,143,697,295,298,152,334.527,0.0,0
5,697,295,730,310,33,15,36.249,0.0,0
6,730,310,754,324,24,14,27.785,0.0,0
7,754,324,775,335,21,11,23.707,0.0,0
8,775,335,796,347,21,12,24.187,0.0,0
9,796,347,809,355,13,8,15.264,0.0,0
10,809,355,812,358,3,3,4.243,0.0,0
11,812,358,816,364,4,6,7.211,0.0,0
12,816,364,817,364,1,0,1.0,0.0,0
13,817,364,818,368,1,4,4.123,0.0,0
14,818,368,818,369,0,1,1.0,0.0,0
15,818,369,818,372,0,3,3.0,0.0,0
16,818,372,818,373,0,1,1.0,0.0,0
17,818,373,818,373,0,0,0.0,0.0,0
18,818,373,817,373,-1,0,1.0,0.0,0
19,817,373,816,373,-1,0,1.0,0.0,0
20,816,373,816,373,0,0,0.0,0.0,0
21,816,373,816,373,0,0,0.0,0.0,0
22,816,373,815,372,-1,-1,1.414,0.0,0
23,815,372,814,373,-1,1,1.414,0.0,0
24,814,373,812,377,-2,4,4.472,0.0,0
25,812,377,809,382,-3,5,5.831,0.0,0
26,809,382,797,397,-12,15,19.209,0.0,0
27,797,397,789,412,-8,15,17.0,0.0,0
28,789,412,787,417,-2,5,5.385,0.0,0
29,787,417,787,418,0,1,1.0,0.0,0
30,787,418,787,420,0,2,2.0,0.0,0
31,787,420,787,423,0,3,3.0,0.0,0
32,787,423,787,428,0,5,5.0,0.0,0
33,787,428,787,433,0,5,5.0,0.0,0
34,787,433,787,436,0,3,3.0,0.0,0
35,787,436,787,437,0,1,1.0,0.0,0
36,787,437,787,440,0,3,3.0,0.0,0
37,787,440,787,442,0,2,2.0,0.0,0
38,787,442,787,439,0,-3,3.0,0.0,0
39,787,439,787,437,0,-2,2.0,0.0,0
40,787,437,787,434,0,-3,3.0,0.0,0
41,787,434,787,430,0,-4,4.0,0.0,0
42,787,430,787,429,0,-1,1.0,0.0,0
43,787,429,786,428,-1,-1,1.414,0.0,0
44,786,428,786,427,0,-1,1.0,0.0,0
45,786,427,786,427,0,0,0.0,0.0,0
46,786,427,786,428,0,1,1.0,0.0,0
47,786,428,786,436,0,8,8.0,0.0,0
48,786,436,789,440,3,4,5.0,0.0,0
49,789,440,791,445,2,5,5.385,0.0,0
50,791,445,791,446,0,1,1.0,0.0,0
51,791,446,791,448,0,2,2.0,0.0,0
52,791,448,791,449,0,1,1.0,0.0,0
53,791,449,792,452,1,3,3.162,0.0,0
54,792,452,792,456,0,4,4.0,0.0,0
55,792,456,792,463,0,7,7.0,0.0,0
56,792,463,792,466,0,3,3.0,0.0,0
57,792,466,792,468,0,2,2.0,0.0,0
